id,created_at,supplier,ekspedisi,total_koli,total_ongkir
205,2026-06-23T06:34:36+00:00,WEMBLEY,BARAKA EXPRESS,1,84000
206,2026-06-23T06:35:08+00:00,ODYSEY,BARAKA EXPRESS,1,42000
207,2026-06-23T06:35:52+00:00,JERC,BARAKA EXPRESS,1,58000
208,2026-06-24T06:36:39+00:00,SM SPORT,BARAKA EXPRESS,1,42000
209,2026-06-24T06:37:07+00:00,EXC,BARAKA EXPRESS,1,36000
210,2026-06-24T06:37:34+00:00,EXCEED,BARAKA EXPRESS,1,42000
211,2026-06-24T06:37:59+00:00,DENS SPORT,BARAKA EXPRESS,1,63000
212,2026-06-24T06:38:33+00:00,LIZ SPORT,BARAKA EXPRESS,1,58000
213,2026-06-24T06:39:05+00:00,NERO KODE 3,BARAKA EXPRESS,1,79000
214,2026-06-24T06:39:33+00:00,UNO SPORT,BARAKA EXPRESS,1,30000
215,2026-06-25T06:40:24+00:00,UNO SPORT,BARAKA EXPRESS,2,339000
216,2026-06-27T06:41:18+00:00,EXCEED,BARAKA EXPRESS,1,47000
217,2026-06-29T06:42:15+00:00,GHANIOR,J&T,1,126000
218,2026-06-29T06:42:41+00:00,KINESIO,BARAKA EXPRESS,1,41000
235,2026-06-17T03:12:26+00:00,RTO MALANG,ADEX,7,220000
236,2026-07-17T03:14:33+00:00,RTO JAKARTA,ADEX,11,756000
237,2026-06-20T03:15:11+00:00,RTO JAKARTA,ADEX,14,866000
238,2026-06-04T03:16:19+00:00,RTO SEMARANG,ADEX,5,170000
239,2026-06-17T03:16:58+00:00,RTO SEMARANG,ADEX,42,1458000
240,2026-07-01T03:17:58+00:00,RTO SEMARANG,ADEX,11,394000
243,2026-09-07T12:26:50+00:00,(TA) JERC,BARAKAH,1,33000
244,2026-09-07T18:49:24+00:00,(TA) DENS SPORT,BARAKAH,1,58000
245,2026-09-07T18:50:49+00:00,(TA) NERO,BARAKAH,1,167000
246,2026-10-07T13:02:31+00:00,(TA) YOGA SPORT,BARAKAH,1,36000
247,2026-12-07T12:13:19+00:00,(TA) NERO,BARAKA EXPRESS,1,105000
248,2026-12-07T12:13:20+00:00,(TA) NERO,BARAKA EXPRESS,1,105000
249,2026-12-07T12:14:27+00:00,(TA) UNO,BARAKA EXPRESS,1,47000
250,2026-12-07T12:38:52+00:00,(TA) DENS SPORT,BARAKA EXPRESS,1,84000
263,2026-07-09T12:26:50+00:00,(TA) JERC,BARAKAH,1,33000
264,2026-07-09T18:49:24+00:00,(TA) DENS SPORT,BARAKAH,1,58000
265,2026-07-09T18:50:49+00:00,(TA) NERO,BARAKAH,1,167000
266,2026-07-10T13:02:31+00:00,(TA) YOGA SPORT,BARAKAH,1,36000
268,2026-07-12T12:13:20+00:00,(TA) NERO,BARAKA EXPRESS,1,105000
269,2026-07-12T12:14:27+00:00,(TA) UNO,BARAKA EXPRESS,1,47000
270,2026-07-12T12:38:52+00:00,(TA) DENS SPORT,BARAKA EXPRESS,1,84000
271,2026-07-14T10:03:43+00:00,KINESIOJAKARTA,BARAKA EXPRESS,1,40000
272,2026-07-15T14:56:44+00:00,(TA) YOGA SPORT,BARAKA EXPRESS,1,36000
273,2026-07-15T14:57:34+00:00,(TA) FULLMAN,BARAKA EXPRESS,2,202000
